"","Recording_ID","Genus","Specific_epithet","Subspecies","English_name","Recordist","Country","Locality","Latitude","Longitude","Vocalization_type","Audio_file","License","Url","Quality","Time","Date"
"11","443869","Parus","major","","Great Tit","Karl-Birger Strann","Norway","Berg, Troms","69.4435","17.343","male, song","//www.xeno-canto.org/443869/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/443869","A","09:30","2008-07-12"
"12","443776","Parus","major","","Great Tit","Karl-Birger Strann","Norway","Balsfjord kommune, Troms","69.2427","19.4481","male, song","//www.xeno-canto.org/443776/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/443776","A","06:30","2018-04-25"
"13","443775","Parus","major","","Great Tit","Karl-Birger Strann","Norway","Andøy, Nordland","68.8352","15.6354","male, song","//www.xeno-canto.org/443775/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/443775","A","05:00","2018-05-26"
"14","442594","Parus","major","","Great Tit","Lars Edenius","Sweden","Umeå stad, Västerbottens län","63.8313","20.2607","call","//www.xeno-canto.org/442594/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/442594","A","07:00","2018-11-17"
"15","441971","Parus","major","","Great Tit","Piotr Szczypinski","Poland","Gmina Dzierzgowo (near  Brzozowo-Czary), mławski, mazowieckie","53.2215","20.6208","call","//www.xeno-canto.org/441971/download","//creativecommons.org/licenses/by-nc-nd/4.0/","https://www.xeno-canto.org/441971","A","09:00","2018-11-08"
"16","441754","Parus","major","","Great Tit","W. Agster","Germany","Hauptfriedhof (near  Frankfurt am Main), Darmstadt, Hessen","50.1361","8.6853","call","//www.xeno-canto.org/441754/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/441754","A","15:00","2018-11-09"
"17","441596","Parus","major","","Great Tit","Piotr Szczypinski","Poland","Gmina Dzierzgowo, mławski, mazowieckie","53.2328","20.6333","call","//www.xeno-canto.org/441596/download","//creativecommons.org/licenses/by-nc-nd/4.0/","https://www.xeno-canto.org/441596","A","10:30","2018-11-06"
"18","441016","Parus","major","","Great Tit","Nelson Conceição","Portugal","Vila Nova de Cacela, Vila Real de Santo António, Faro","37.1535","-7.5565","male, song","//www.xeno-canto.org/441016/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/441016","A","17:10","2018-10-25"
"19","439673","Parus","major","","Great Tit","Lars Edenius","Sweden","Bäcksjön, Umeå, Västerbottens län","63.9334","20.3735","call","//www.xeno-canto.org/439673/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/439673","A","08:00","2018-10-22"
"20","438741","Parus","major","","Great Tit","Jack Berteau","France","Quinçay, Vienne, Nouvelle-Aquitaine","46.5979","0.1996","song","//www.xeno-canto.org/438741/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/438741","A","15:00","2018-06-11"
"21","438355","Parus","major","","Great Tit","Nelson Conceição","Portugal","Santiago (near  Tavira), Tavira, Faro","37.1538","-7.6735","call","//www.xeno-canto.org/438355/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/438355","A","15:26","2018-10-12"
"22","438244","Parus","major","","Great Tit","Jack Berteau","France","Poitiers, Vienne, Nouvelle-Aquitaine","46.5763","0.3224","song","//www.xeno-canto.org/438244/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/438244","A","09:30","2018-05-27"
"23","438243","Parus","major","","Great Tit","Jack Berteau","France","Poitiers, Vienne, Nouvelle-Aquitaine","46.5763","0.3224","song","//www.xeno-canto.org/438243/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/438243","A","09:30","2018-05-27"
"24","438197","Parus","major","excelsus","Great Tit","Karim Haddad","Algeria","Minar Zarza, Wilaya de Jijel","36.5574","5.8732","song","//www.xeno-canto.org/438197/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/438197","A","13:45","2018-04-25"
"25","437710","Parus","major","","Great Tit","Jack Berteau","France","Vouillé, Vienne, Nouvelle-Aquitaine","46.5959","0.1676","song","//www.xeno-canto.org/437710/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/437710","A","07:30","2018-05-12"
"26","437705","Parus","major","","Great Tit","Jack Berteau","France","Poitiers, Vienne, Nouvelle-Aquitaine","46.5763","0.3224","song","//www.xeno-canto.org/437705/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/437705","A","14:30","2018-05-10"
"27","437554","Parus","major","","Great Tit","Jack Berteau","France","Vouillé, Vienne, Nouvelle-Aquitaine","46.5956","0.1677","song","//www.xeno-canto.org/437554/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/437554","A","17:00","2018-05-06"
"28","437426","Parus","major","","Great Tit","Vincent Pourchaire","France","Creys-Mépieu, Isère, Auvergne-Rhône-Alpes","45.7534","5.441","call","//www.xeno-canto.org/437426/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/437426","A","09:00","2018-10-06"
"29","437425","Parus","major","","Great Tit","Vincent Pourchaire","France","Creys-Mépieu, Isère, Auvergne-Rhône-Alpes","45.7534","5.441","female, flight call, song","//www.xeno-canto.org/437425/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/437425","A","09:00","2018-10-06"
"30","437057","Parus","major","","Great Tit","Lars Edenius","Mongolia","Batshireet, Khentii","48.461","110.2063","call","//www.xeno-canto.org/437057/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/437057","A","08:00","2018-09-19"
"31","436371","Parus","major","","Great Tit","Joost van Bruggen","Netherlands","Arnhem, Arnhem, Gelderland","51.94","5.9038","alarm call, song, subsong","//www.xeno-canto.org/436371/download","//creativecommons.org/licenses/by-sa/4.0/","https://www.xeno-canto.org/436371","A","07:45","2018-03-07"
"32","436195","Parus","major","","Great Tit","Jack Berteau","France","La Faute-sur-Mer, Vendée, Pays de la Loire","46.3251","-1.3199","song","//www.xeno-canto.org/436195/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/436195","A","11:00","2018-04-17"
"33","436194","Parus","major","","Great Tit","Jack Berteau","France","La Faute-sur-Mer, Vendée, Pays de la Loire","46.3251","-1.3199","song","//www.xeno-canto.org/436194/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/436194","A","10:30","2018-04-17"
"34","436190","Parus","major","","Great Tit","Jack Berteau","France","La Faute-sur-Mer, Vendée, Pays de la Loire","46.3323","-1.3254","male, song","//www.xeno-canto.org/436190/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/436190","A","14:00","2018-04-16"
"35","434465","Parus","major","","Great Tit","Nelson Conceição","Portugal","Santiago (near  Tavira), Tavira, Faro","37.1538","-7.6735","call","//www.xeno-canto.org/434465/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/434465","A","19:13","2018-09-16"
"36","433461","Parus","major","","Great Tit","Dominic Garcia-Hall","United Kingdom","Underhill Farm, Peak National Park, Staffordshire, England","53.1234","-1.9189","flight call, male, song, subsong","//www.xeno-canto.org/433461/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/433461","A","17:30","2018-08-30"
"37","433460","Parus","major","","Great Tit","Dominic Garcia-Hall","United Kingdom","Underhill Farm, Peak National Park, Staffordshire, England","53.1234","-1.9189","alarm call, call, flight call, male, song","//www.xeno-canto.org/433460/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/433460","A","17:30","2018-08-30"
"38","433458","Parus","major","","Great Tit","Dominic Garcia-Hall","United Kingdom","Underhill Farm, Peak National Park, Staffordshire, England","53.1234","-1.9189","alarm call, call, flight call, male, song","//www.xeno-canto.org/433458/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/433458","A","17:30","2018-08-30"
"39","432977","Parus","major","","Great Tit","Dominic Garcia-Hall","United Kingdom","Underhill Farm, Peak National Park, Staffordshire, England","53.1234","-1.9189","alarm call, call, song","//www.xeno-canto.org/432977/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/432977","A","10:00","2018-08-30"
"40","432976","Parus","major","","Great Tit","Dominic Garcia-Hall","United Kingdom","Underhill Farm, Peak National Park, Staffordshire, England","53.1234","-1.9189","alarm call, call, song","//www.xeno-canto.org/432976/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/432976","A","10:00","2018-08-30"
"41","431099","Parus","major","","Great Tit","Albert Lastukhin","Russian Federation","Noyabrsk, Gorod Noyabr'sk, Yamalo-Nenets Autonomous Okrug","63.1834","75.3989","call","//www.xeno-canto.org/431099/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/431099","A","09:00","2018-06-04"
"42","431098","Parus","major","","Great Tit","Albert Lastukhin","Russian Federation","Noyabrsk, Gorod Noyabr'sk, Yamalo-Nenets Autonomous Okrug","63.1834","75.3989","call","//www.xeno-canto.org/431098/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/431098","A","09:00","2018-06-04"
"43","422223","Parus","major","","Great Tit","Andres Angulo ","Germany","Göttingen  ( Bovenden), Niedersachsen","51.5856","9.9375","song","//www.xeno-canto.org/422223/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/422223","A","08:30","2018-05-17"
"44","420347","Parus","major","","Great Tit","Vincent Pourchaire","France","Creys-Mépieu, Isère, Auvergne-Rhône-Alpes","45.7392","5.4525","call","//www.xeno-canto.org/420347/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/420347","A","11:00","2018-06-09"
"45","418483","Parus","major","","Great Tit","Stanislas Wroza","France","Port-Vendres, Pyrénées-Orientales, Occitanie","42.5154","3.1364","odd song, song","//www.xeno-canto.org/418483/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/418483","A","06:30","2018-05-20"
"46","417968","Parus","major","","Great Tit","Jorge Leitão","Germany","Königstuhl Heidelberg","49.3981","8.7261","song","//www.xeno-canto.org/417968/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/417968","A","19:00","2018-05-12"
"47","417946","Parus","major","","Great Tit","Jorge Leitão","Germany","Königstuhl Heidelberg","49.3981","8.7261","song","//www.xeno-canto.org/417946/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/417946","A","07:00","2018-05-31"
"48","417075","Parus","major","","Great Tit","Jerome Fischer","Switzerland","Cudrefin, Broye-Vully, Vaud","46.978","7.0432","call, male","//www.xeno-canto.org/417075/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/417075","A","19:45","2018-05-26"
"49","417023","Parus","major","","Great Tit","Hans Matheve","Belgium","Matagne-la-Grande, Namur","50.1317","4.6177","song","//www.xeno-canto.org/417023/download","//creativecommons.org/licenses/by-nc-nd/4.0/","https://www.xeno-canto.org/417023","A","?","2018-05-20"
"50","416692","Parus","major","","Great Tit","Peter Boesman","Portugal","Salir do Porto, Caldas da Rainha, Leiria","39.4995","-9.161","song","//www.xeno-canto.org/416692/download","//creativecommons.org/licenses/by-nc-nd/4.0/","https://www.xeno-canto.org/416692","A","05:45","2018-05-08"
"51","416574","Parus","major","","Great Tit","Peter Boesman","Portugal","São Lourenço, Setúbal, Setúbal","38.4786","-8.9932","call","//www.xeno-canto.org/416574/download","//creativecommons.org/licenses/by-nc-nd/4.0/","https://www.xeno-canto.org/416574","A","10:30","2018-05-02"
"52","416531","Parus","major","","Great Tit","Jordi Calvet","Spain","Bellaguarda, Les Garrigues, Catalunya","41.3359","0.737","song","//www.xeno-canto.org/416531/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/416531","A","13:00","2018-04-29"
"53","416521","Parus","major","","Great Tit","Jordi Calvet","Spain","Bellaguarda, Les Garrigues, Catalunya","41.3359","0.737","song","//www.xeno-canto.org/416521/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/416521","A","12:00","2018-04-29"
"54","412864","Parus","major","major","Great Tit","Ruslan Mazuryk","Ukraine","Toky, Pidvolochys'kyi district, Ternopil's'ka oblast","49.634","26.2213","male, song","//www.xeno-canto.org/412864/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/412864","A","19:18","2018-04-29"
"55","412456","Parus","major","","Great Tit","Marc Anderson","Spain","Sierra de Cazorla Comarca (near  Cazorla), Jaén, Andalucía","37.9055","-2.8989","song","//www.xeno-canto.org/412456/download","//creativecommons.org/licenses/by-nc-nd/4.0/","https://www.xeno-canto.org/412456","A","08:00","2018-04-18"
"56","412165","Parus","major","major","Great Tit","Ruslan Mazuryk","Ukraine","Toky, Pidvolochys'kyi district, Ternopil's'ka oblast","49.634","26.2213","male, song","//www.xeno-canto.org/412165/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/412165","A","05:38","2018-04-23"
"57","412160","Parus","major","major","Great Tit","Ruslan Mazuryk","Ukraine","Toky, Pidvolochys'kyi district, Ternopil's'ka oblast","49.634","26.2213","male, song","//www.xeno-canto.org/412160/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/412160","A","19:32","2018-04-18"
"58","412159","Parus","major","major","Great Tit","Ruslan Mazuryk","Ukraine","Toky, Pidvolochys'kyi district, Ternopil's'ka oblast","49.634","26.2213","male, song","//www.xeno-canto.org/412159/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/412159","A","11:45","2018-04-18"
"59","412158","Parus","major","major","Great Tit","Ruslan Mazuryk","Ukraine","Toky, Pidvolochys'kyi district, Ternopil's'ka oblast","49.634","26.2213","male, song","//www.xeno-canto.org/412158/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/412158","A","18:14","2018-04-16"
"60","412157","Parus","major","major","Great Tit","Ruslan Mazuryk","Ukraine","Toky, Pidvolochys'kyi district, Ternopil's'ka oblast","49.634","26.2213","male, song","//www.xeno-canto.org/412157/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/412157","A","13:25","2018-04-16"
"61","411912","Parus","major","","Great Tit","Frank Lambert","Mongolia","nr Mongolica Hotel, Songino Khairkhan, Ulaanbaatar","47.8721","106.7144","call","//www.xeno-canto.org/411912/download","//creativecommons.org/licenses/by-nc-nd/4.0/","https://www.xeno-canto.org/411912","A","06:25","2017-05-24"
"62","411880","Parus","major","","Great Tit","Marc Anderson","Spain","Sierra de Cazorla Comarca (near  Cazorla), Jaén, Andalucía","37.9055","-2.8989","song","//www.xeno-canto.org/411880/download","//creativecommons.org/licenses/by-nc-nd/4.0/","https://www.xeno-canto.org/411880","A","08:30","2018-04-17"
"63","411693","Parus","major","","Great Tit","Tassos Sakoulis","Greece","Ioannina (near  Chionades), Epirus, Decentralized Administration of Epirus and Western Macedonia","40.2696","20.7405","song","//www.xeno-canto.org/411693/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/411693","A","16:00","2016-06-07"
"64","411496","Parus","major","","Great Tit","Elias A. Ryberg","Norway","Helgøya, Ringsaker, Hedmark","60.7385","10.9835","song","//www.xeno-canto.org/411496/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/411496","A","15:17","2018-04-19"
"65","411488","Parus","major","","Great Tit","Elias A. Ryberg","Norway","Brumunddal, Langodden, Furnesfjorden ","60.8473","10.9525","male, song","//www.xeno-canto.org/411488/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/411488","A","14:18","2018-04-18"
"66","411415","Parus","major","","Great Tit","Dmitry Kulakov","Russian Federation","Vyborgsky District, Leningradskaya oblast'","60.245","29.5416","alarm call, female, male, song","//www.xeno-canto.org/411415/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/411415","A","13:30","2018-04-14"
"67","411297","Parus","major","","Great Tit","Jerome Fischer","Spain","Son Real, Mallorca","39.754","3.183","song","//www.xeno-canto.org/411297/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/411297","A","07:30","2018-04-13"
"68","411265","Parus","major","","Great Tit","Krzysztof Deoniziak","Poland","Knyszyn Forest (near Kopna Góra), Podlaskie","53.2492","23.4815","call","//www.xeno-canto.org/411265/download","//creativecommons.org/licenses/by-nc-nd/4.0/","https://www.xeno-canto.org/411265","A","07:00","2018-04-17"
"69","411044","Parus","major","","Great Tit","Dominic Garcia-Hall","United Kingdom","Underhill Farm, Peak National Park, Staffordshire, England","53.1234","-1.9189","call, male","//www.xeno-canto.org/411044/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/411044","A","12:30","2018-04-13"
"70","411043","Parus","major","","Great Tit","Dominic Garcia-Hall","United Kingdom","Underhill Farm, Peak National Park, Staffordshire, England","53.1234","-1.9189","male, song","//www.xeno-canto.org/411043/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/411043","A","12:30","2018-04-13"
"71","411042","Parus","major","","Great Tit","Francesco Sottile","Italy","Grassobbio, Provincia di Bergamo, Lombardia","45.6307","9.7402","alarm call, male","//www.xeno-canto.org/411042/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/411042","A","10:16","2013-05-01"
"72","411007","Parus","major","","Great Tit","Jerome Fischer","Spain","Son Real (Mallorca)","39.753","3.183","song","//www.xeno-canto.org/411007/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/411007","A","07:30","2018-04-06"
"73","410006","Parus","major","","Great Tit","Piotr Szczypinski","Poland","Chorzele, szczycieński, Warminsko-Mazurskie","53.2351","20.7199","alarm call, male","//www.xeno-canto.org/410006/download","//creativecommons.org/licenses/by-nc-nd/4.0/","https://www.xeno-canto.org/410006","A","09:30","2018-04-07"
"74","409935","Parus","major","","Great Tit","Jarek Matusiak","Lithuania","Marcinkonių seniūnija (near  Marcinkonys), Varėnos rajono savivaldybė, Alytaus apskritis","54.0204","24.428","alarm call, male","//www.xeno-canto.org/409935/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/409935","A","13:30","2018-04-07"
"75","409779","Parus","major","","Great Tit","Yoann Blanchon","France","Pampelonne, Tarn, Occitanie","44.1292","2.2559","song","//www.xeno-canto.org/409779/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/409779","A","11:30","2018-04-01"
"76","409375","Parus","major","major","Great Tit","Ruslan Mazuryk","Ukraine","Toky, Pidvolochys'kyi district, Ternopil's'ka oblast","49.634","26.2213","male, song","//www.xeno-canto.org/409375/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/409375","A","13:20","2018-04-05"
"77","409347","Parus","major","","Great Tit","Krzysztof Deoniziak","Poland","Knyszyn Forest (near Kopna Góra), Podlaskie","53.2492","23.4815","call","//www.xeno-canto.org/409347/download","//creativecommons.org/licenses/by-nc-nd/4.0/","https://www.xeno-canto.org/409347","A","06:00","2018-04-05"
"78","409284","Parus","major","","Great Tit","Marc Anderson","United Kingdom","Tiptree, Essex, England","51.8079","0.7739","song","//www.xeno-canto.org/409284/download","//creativecommons.org/licenses/by-nc-nd/4.0/","https://www.xeno-canto.org/409284","A","17:00","2018-04-05"
"79","408786","Parus","major","","Great Tit","Dominic Garcia-Hall","United Kingdom","Underhill Farm, Peak National Park, Staffordshire, England","53.1234","-1.9189","non-vocal, song, wingbeats","//www.xeno-canto.org/408786/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/408786","A","11:30","2018-04-01"
"80","408765","Parus","major","","Great Tit","Lars Edenius","Sweden","Baggböle, Umeå, Västerbottens län","63.8344","20.1259","call","//www.xeno-canto.org/408765/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/408765","A","10:30","2018-04-02"
"81","408740","Parus","major","","Great Tit","Guido O. Keijl","Netherlands","Schiermonnikoog, Schiermonnikoog, Friesland","53.4806","6.1646","male, song","//www.xeno-canto.org/408740/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/408740","A","06:46","2013-09-12"
"82","408345","Parus","major","","Great Tit","Elias A. Ryberg","Norway","Ringsaker, Hedmark","61.1672","10.9019","song","//www.xeno-canto.org/408345/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/408345","A","13:30","2018-03-31"
"83","407883","Parus","major","major","Great Tit","Jarek Matusiak","Poland","Gmina Sztabin (near  Wilkownia), augustowski, podlaskie","53.7878","23.2653","alarm call, male","//www.xeno-canto.org/407883/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/407883","A","11:00","2018-03-25"
"84","407882","Parus","major","major","Great Tit","Jarek Matusiak","Poland","Gmina Sztabin (near  Wilkownia), augustowski, podlaskie","53.7878","23.2653","alarm call, male, sound of wings","//www.xeno-canto.org/407882/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/407882","A","11:00","2018-03-25"
"85","407810","Parus","major","","Great Tit","Elias A. Ryberg","Norway","Ringsaker, Hedmark","60.8807","10.8616","song","//www.xeno-canto.org/407810/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/407810","A","13:45","2018-03-27"
"86","407415","Parus","major","","Great Tit","Lars Edenius","Sweden","Bäcksjön, Umeå, Västerbottens län","63.9334","20.3735","song","//www.xeno-canto.org/407415/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/407415","A","07:30","2018-03-23"
"87","407137","Parus","major","","Great Tit","Jerome Fischer","Switzerland","Radelfingen, Aarberg, Bern","46.9846","7.2564","song","//www.xeno-canto.org/407137/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/407137","A","11:30","2018-03-24"
"88","407134","Parus","major","","Great Tit","Jerome Fischer","Switzerland","Radelfingen, Aarberg, Bern","46.9846","7.2564","song","//www.xeno-canto.org/407134/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/407134","A","11:30","2018-03-24"
"89","407131","Parus","major","","Great Tit","Jerome Fischer","Switzerland","Radelfingen, Aarberg, Bern","46.9846","7.2564","song","//www.xeno-canto.org/407131/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/407131","A","12:00","2018-03-23"
"90","407130","Parus","major","","Great Tit","Jerome Fischer","Switzerland","Radelfingen, Aarberg, Bern","46.9846","7.2564","song","//www.xeno-canto.org/407130/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/407130","A","12:00","2018-03-23"
"91","407129","Parus","major","","Great Tit","Jerome Fischer","Switzerland","Radelfingen, Aarberg, Bern","46.9846","7.2564","call","//www.xeno-canto.org/407129/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/407129","A","12:00","2018-03-23"
"92","407097","Parus","major","major","Great Tit","Ruslan Mazuryk","Ukraine","Toky, Pidvolochys'kyi district, Ternopil's'ka oblast","49.634","26.2213","call, male, song","//www.xeno-canto.org/407097/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/407097","A","13:16","2018-03-24"
"93","407096","Parus","major","major","Great Tit","Ruslan Mazuryk","Ukraine","Toky, Pidvolochys'kyi district, Ternopil's'ka oblast","49.634","26.2213","call, male, song","//www.xeno-canto.org/407096/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/407096","A","12:44","2018-03-24"
"94","406842","Parus","major","","Great Tit","Marcin Sołowiej","Poland","Szczecin, Western Pomerania","53.458","14.538","song","//www.xeno-canto.org/406842/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/406842","A","09:30","2018-02-09"
"95","406814","Parus","major","","Great Tit","Elias A. Ryberg","Norway","Stange, Hedmark","60.7225","11.1095","song","//www.xeno-canto.org/406814/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/406814","A","08:45","2018-03-22"
"96","406812","Parus","major","","Great Tit","Elias A. Ryberg","Norway","Stange, Hedmark","60.7225","11.1095","song","//www.xeno-canto.org/406812/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/406812","A","08:45","2018-03-22"
